湿乎乎的话题区版规(严禁黑蜜论群体攻击，严禁主贴带无关福利，恶意挖坟永久)
看到豪门沦为弱队是种什么心情。。。湖人过去4年每年至少输50场，对比历史太惨了
不懂就问，这球到底走步没有
邓肯会不会像拉塞尔一样，因为数据不强势历史地位越来越低？
刺客TNT发话：快船的夺冠窗口已关闭，因为保罗。美球迷：非保罗，而是快船落伍了
求科普小姨妈背景。长得那么不像话说话永远含糊不清，为何能站稳第一女主播的位子...
看帖有感，保罗真的不能像图片那样手指运球吗？
玩票设计，nba球队标志与中文搭配再设计（西部篇）
我来说一下我的最佳阵容预测和理由，欢迎指正。留贴为证，不准我散话费
[流言板]潮！韦德这身打扮你给几分？
美国媒体重排10年选秀，考辛斯状元书豪11
看了篮坛十大斗殴 朱8的组合拳好厉害啊
干货讨论，关于今天约基奇打詹姆斯那个球。。。根本就不是力量碾压！
克莱汤普森 佛祖而论  是属于任何球队都抢着给顶薪的球员吗？你的主队要吗？ 
哈登的防守什么水平，是否被印象流了？
觉得今年骑士没有去年的那种拼劲了！
不懂就问，围巾的身体天赋历史上排名如何
【赛后】骑士113-126掘金，欧文33分，哈里斯21分，约基奇16+10+7
在中国，麦迪、科比和詹姆斯的技术风格，哪种更吸引妹纸？
大O罗伯特森为什么能被排进历史前10？是否因为三双加成？
【话题团】谒金门·基德
【美国JRs之声】登哥稳了？哈登MVP概率已超詹威伦之和|大胡子巅峰一季实至名归？
给掘金来个全明星(哈登)，上限能有多高？
约基奇今天背身生吃乐福一球什么水平？感觉乐福完全防不了高大内线啊。。。
约基奇单吃詹姆斯那球，詹姆斯力量真足啊
[虎扑新闻]威少谈库里将MVP投给哈登：不在意他说了啥
你们认为哪些球星的技术和打法适合普通爱好者学习？
理性分析，你们希望是哪支球队获得西部第八这最后一张季后赛门票呢
爵士居然排名西部第四了，说好的重建呢？
结合数据看一看，你觉得11年MVP不给罗斯应该给谁？
路人王专区
【赛后讨论】郑州第三轮“虎扑李荣浩”万宅男5-3安云鹏实力加冕（精彩GIF）
我认为2k16比2k17要好的多，是这样吗？
约基奇，本赛季非全明星里面多项高阶数据名列前茅，厉害了我的基
动统计的进来看看……
又见多多招牌动作！是想靠这一招吃遍天下无敌手吗？
LBJ1.0  2.0 3.0 三个时期的詹姆斯你最喜欢哪个？
21世纪所有冠军教头哪届是mvp？
联盟有没有身体看着很劲爆，实际一般的人？
 不懂就问 有没有超级巨星或者球星的孩子还是全明星级别的
场均30+10+10的赛季超级大三双已经出现了，以后有机会出现场均5X5的超人么？
斯托克顿身体素质的好吗？
詹宁斯效率如此之低，到底是靠什么在联盟打了八年，而且拿的薪水还不低的？
不懂就问，中国后卫为什么都不打快攻？
【虎扑JRs字幕】拉里布朗：AI只发挥了90%的天赋，受够了大家不能正确看待他
预测一波最佳阵容大家指导一下
nba最能打的人詹姆斯约翰逊vs布洛克谁可以获胜。
[流言板]媒体晒詹姆斯和乔丹生涯上场时间
船蜜进。快船阵容真的如大家所说的那么烂吗？
【美国JRs之声】大量干货数据！勒布朗绝对是历史上最好的攻防一体球员之一！
【话题团】盖帽狂魔大白边生涯十大血帽，哪个最残暴？
［更新GIF］Sam Dubois三分线0.9秒绝杀！
保罗从花姑娘熬成婆，快船还能圆他的西决梦吗？
战神！威斯布鲁克单季第29次砍下三双获胜！追平NBA历史纪录！
终于明白为什么76人这么对待奥卡福了
求问，为什么防守登哥的时候总是采取这种策略
栏目
【梦·原创】假如梅西和詹姆斯互换东家（半娱乐版）
纳什和基德在现在nba算是什么水平的控卫？
突然发现，为什么很少有球迷模仿詹姆斯打球？
还记得当年的狂野西部吗？50胜才能季后赛
雷霆连续3年选到3个MVP 还是得分王级别的 是不是历史绝无仅有 恐怕也后无来者
“大鲨鱼”沙奎尔-奥尼尔的雕像即将揭幕，大家有什么要说的？
【话题团】再回首我心依旧-犹他爵士首次取得西部冠军、杀入总决赛20周年纪念夜~
【美国JRs之声】叕做手术！恩比德续约到底是怎样的情况|玻璃属性注定无缘顶薪？
作为韦蜜，练三年的号就满级了，当时是一种什么体验
当今NBA，詹姆斯和总决赛是不是可以划等号？
弟弟对哥哥说了啥？ 库里听了后原地日天， 怒射4个超远3分。。。跟玩一样简单
为什么艾弗森不打控球后卫？
哪些球员与教练关系亦父亦友？
不厚古薄今而言，杜兰特的身体天赋能不能进历史前十？
决定西区排名的几场关键战役
【一流图】3秒完成进攻，沃尔光速反击暴扣！
不懂就问，想库里这种意外井喷的，球队会不会私下给一些困难补助？
各位jr，有没有人来科普下当年巴特尔放倒奥尼尔的“壮举”
NBA选秀-NCAA
[翻译团]从梅罗到肯巴：细数25位在“疯狂三月”中留下印记的NBA球员
库里今年进不了二阵？
是时候讨论一下2K里手感最好的球员了
这张风尘四侠合影也可以有梗吗？
当nba遇到漫威就会成这样子
戈贝尔和约基奇（还有唐斯和大帝），你选谁？
这张图浓缩科比20年职业生涯  一张包含30699次出手的效果图
年度最佳教练应该给爵士斯奈德。
查司机数据的时候，意外的发现了王治郅，如果晚生10年他会在NBA成功？
看球爹老詹帖子有感，nba历史上有没有父子都是超巨的例子？
身为詹密，同时也对库里，登哥，神龟，卡哇伊有好感，是不是很多？
路人王专区
【赛前热线】新的场地新的选手，谁会一战成名？路人王太原站第三轮
时光贴，预测五年以后，联盟前五人
不懂就问！格里芬208臂展211单手抓球无压力为什么会被大家说手短？
预测一下西部4-7名战绩
腰背部受伤，是不是一辈子都不能尽情打球了?
是时候来讨论一波斯波得到最佳教练的可能性了
“半兽人”法里德怎么了，走下坡了吗，他算不算可惜的球员
由21世纪何时开始产生的问题
为什么马特巴恩斯无法签到长约？
求科普贴，印象中有一年央视对nba封杀了，有老球迷科普一下原因吗？
其实尼克斯战绩不好就是阵容不行，为什么都怪教练，甚至怪肯德基
尼克杨进攻能力什么水平
是尼克斯球员毁了三角，还是三角毁了尼克斯球员
【话题团】疯一样的男子，看07克劳福德如何做到16连中妖孽级表演的？
颜值第一定律！NBA中叫保罗的都是高颜值！
提前问！下周雷霆打灰熊各位看好谁！
